,kcat,MW,kcat_MW
TMN,1.2096924999999998,27416.27130000001,158.84337269452092
PUNP3_num1,7950.0,29126.282700000003,982617.6685430576
3NTD9pp_num1,7.110571428571428,159703.77129999976,160.28461278332492
Q23DO,10.783333333333333,37599.12230000002,1032.47090956695
ILEDH2,53.72404761904761,39991.453099999984,4836.197648156262
ILETA_num1,18.805,39675.72160000001,1706.282766133735
FOLR2_1,55.85,19175.45399999999,10485.27977486218
DHFS,40.461040000000004,48164.29200000009,3024.2268276257378
RMPA,16.64,76019.47410000039,788.0086084415532
G1SAT_num1,0.51,46448.32930000001,39.52779416761498
D4DGCD,4.406000000000001,34039.73110000004,465.97312867727027
ORNTAC,2.1999998,43276.59000000001,183.0088572135651
ACOTA,1.185,40977.42239999999,104.1061089289013
FGLU,200.0,35063.39050000003,20534.237839891703
ASAD,7.244999999999999,37846.65610000003,689.1493909286211
DHDPS,117.72916666666669,31041.20100000001,13653.62764153358
PNP_num1,7950.0,29126.282700000003,982617.6685430576
NP1_num1,7950.0,29126.282700000003,982617.6685430576
PYNP1,73.2488888888889,46206.73220000003,5706.87402992761
PUNP7_num1,7950.0,29126.282700000003,982617.6685430576
FTCL,74.12166664285714,21413.460000000006,12461.22765374141
NMNR_num1,7.110571428571428,159703.77129999976,160.28461278332492
NDPK7m,194.85327777777775,16958.411799999994,41364.23907337833
DCTUP,1.6020500000000002,24486.733400000016,235.5308037943516
G1PTT,6.346358333333334,27772.522700000023,822.6436700328984
NDPK6,194.85327777777775,16958.411799999994,41364.23907337833
DUTUP,1.6020500000000002,24486.733400000016,235.5308037943516
TRPS3,20.55881363636364,73028.77590000002,1013.459806477587
3NTD4pp_num1,7.110571428571428,159703.77129999976,160.28461278332492
DCTCP,1.6020500000000002,24486.733400000016,235.5308037943516
DUTCP,1.6020500000000002,24486.733400000016,235.5308037943516
RAFH,322071.52695652173,54813.776800000065,21152665.711651467
SKK,42.48888888888889,21923.052100000008,6977.130707087993
SHK3Dr,95.01133333333334,30607.841700000015,11174.94017881045
R02423,41.75,45519.212000000036,3301.902502178637
R02425,703.8131814818182,48330.521200000076,52424.997505190186
CDPGLC46DH,3.69,36426.15309999997,364.6830331913366
RMI,41.80571428571429,48644.697600000036,3093.8741292241334
RBK_L1,58.98,61009.162500000086,3480.2641324571478
DPR_num1,16.84285714285714,33286.62930000004,1821.5808265778849
PANTS,2.1545,31957.945900000013,242.70020433322014
DURIPP_num1,7950.0,29126.282700000003,982617.6685430576
DCYTD,4.383333333333333,14853.892499999994,1062.3477987335646
R02513,0.4651538461538461,32216.41240000003,51.97828440245087
LGTHL_num1,144.98947368421054,13633.484099999994,38285.3056074755
AMID2,261.36285869565216,29398.94460000002,32004.76425620895
TARTRDH2,103.98120746153845,38727.58720000003,9665.78023382614
ABUTD_num1,1.374,53320.427500000085,92.7674482729905
PUNP2_num1,7950.0,29126.282700000003,982617.6685430576
BETALDHx,80.33571428571429,53665.27380000007,5389.119461244062
BETALDHy,80.33571428571429,53665.27380000007,5389.119461244062
FBA2,5.414017542105262,30400.23550000002,641.1286896635697
PDHbr,2.4,90423.23490000004,95.55066249902542
AKGDb,186.0,46002.75579999997,14555.649729140801
R02630,33.427110037999995,69024.91580000028,1743.3935955167005
ACGK,63.46666666666667,27723.965800000005,8241.245197323104
4HOXPACMON,244.27766666666668,55849.16230000012,15745.976551558735
M1PD,67.8875,41117.372700000014,5943.8379437118065
NTD10_num1,7.110571428571428,159703.77129999976,160.28461278332492
SERH,20.55881363636364,73028.77590000002,1013.459806477587
R02727,34.49633333333333,88278.28610000029,1406.764964368736
PGMT_B,48.73850666666666,25101.525199999985,6989.95868187325
SDPDS_num1,175.03814666666668,51052.15920000002,12343.010322666229
DAPE,71.69108333333334,30870.673100000015,8360.293899778944
G6PBDH,1256.9841285714285,55631.24090000002,81341.7567116886
G6PIh,1473.8477300000002,50542.45219999997,104978.12427074923
PGIA,1473.8477300000002,50542.45219999997,104978.12427074923
PUNP6_num1,7950.0,29126.282700000003,982617.6685430576
PPM2,105.95,44018.456400000076,8665.00171050976
DRBK,16.708571428571428,31137.930300000047,1931.7551476071308
GLCRD,21.762727272727275,50747.98990000012,1543.8211116578234
TDPDRR,5527.248266852328,31641.412300000047,628862.3773177265
UAMAGS,94.14696981818182,49650.09030000006,6826.353976348239
UAAGDS,3.7085714285714286,54324.9595000001,245.7591734211439
PSP_D,166.807695,22143.77180000001,27118.5824810568
SPRMS,89.61916666666669,31335.5293,10295.948631063971
TYRTRSm_num1,5.905,47736.401400000046,445.3205389713348
BTDD-RR,51.68384615384616,37340.33919999999,4982.864380456571
R02947,2.2,28798.99520000001,275.00959477919554
NNATr,14.133333333333333,22156.22500000001,2296.420080586832
R03012,5.091545454545455,46255.923400000094,396.26413849439217
HPh,338.1040555555556,30476.113600000044,39938.64230772516
PNTK_num1,2.12,36639.265100000026,208.30112119252067
R03024,1193.8635483870967,50493.14910000007,85118.65175375926
ECOAH1_num1,1111.9,27553.2244,145276.64500856024
PTPATim,10.478768555555558,18178.587899999988,2075.164859202295
ICHORT_num1,32.257222222222225,35106.53620000003,3307.817078233993
ALATRS,6.545606666666668,97278.71000000054,242.23372205490662
R03050_num1,121.0,163025.13040000026,2671.980687463381
R03051,1.8418181818181816,37457.21300000002,177.01651894243844
