,fluxes,equ,ec-code,kcat_MW,E
HSDxi_reverse,0.007908911543999999,BSU32260,,2486.106349590358,3.1812442558232354e-06
HSDy_reverse,0.0,BSU32260,,2486.106349590358,0.0
HPDOAi_reverse_num1,0.0,BSU05660,,13861.04786397318,0.0
ACNML_reverse,0.0,,,,
PMANM_reverse,0.0,BSU09310,,1380.9256194536026,0.0
MAN6PI_reverse_num1,0.0,BSU12020,,1556548.4222442103,0.0
TALA_reverse,0.748800342027989,BSU37110,,24233.08654593337,3.089991613774216e-05
FBA3hi_reverse,0.0,BSU37120,,641.1286896635697,0.0
TKT2_reverse,0.0,BSU17890,,1605382.5042380006,0.0
NTPTP1_reverse_num1,0.0,BSU37600,,282501.1290824639,0.0
PUNP5_reverse_num1,0.0,BSU23490,,327539.2228476859,0.0
PYNP2r_reverse,0.0,BSU39400,,2853.437014963805,0.0
R01898_reverse,0.0,BSU04200,,730512.8461320319,0.0
r0423_reverse,0.0,BSU29130,,815.3668370462656,0.0
ACONTb_reverse,2.31653742152013,BSU18000,,36205.57328807148,6.398289575719414e-05
SPMS_reverse,0.0,BSU37500,,5147.9743155319875,0.0
PUNP4_reverse_num1,0.0,BSU23490,,327539.2228476859,0.0
HACD1i_reverse,0.0,BSU32840,,53377.89990220124,0.0
HBCO_nadp_reverse,0.002800690773792008,BSU24160,,,
GUI2_reverse,0.0,BSU12300,,4473.781249525451,0.0
DHORTSn_reverse,2.24906149277997,BSU15500,,2489.3597845912514,0.000903469842608252
TRDR_reverse,0.0,BSU34790,,733.8471137252888,0.0
METSOXR1_reverse,0.0,BSU21690,,19846.822356754743,0.0
PGL_reverse,0.0,BSU13010,,1340.269510963641,0.0
AGDC_reverse,0.0,BSU35010,,5561.343779316564,0.0
PGAMT_reverse,0.019920610329408,BSU01770,,58.21550426102053,0.0003421873705686731
MGCH_reverse,0.0,BSU18220,,12634.581069252768,0.0
XAND_reverse,0.0,BSU32470 and BSU32480 and BSU32490 and BSU32510,,128.25339090745217,0.0
URO_reverse,0.0,BSU32450,,207.5004881061772,0.0
TMN_reverse,0.0,BSU11650,,39.71084317363023,0.0
PUNP3_reverse_num1,0.0,BSU23490,,327539.2228476859,0.0
Q23DO_reverse,0.0,BSU39980,,516.235454783475,0.0
ILEDH2_reverse,0.018830210351999995,BSU24080,,4836.197648156262,3.8935981781428574e-06
FOLR2_1_reverse,0.0,BSU21810,,10485.27977486218,0.0
RMPA_reverse,0.0,BSU31220,,3320.938522514703,0.0
G1SAT_reverse_num1,0.0,BSU28120,,19.76389708380749,0.0
ORNTAC_reverse,0.0,BSU11200,,91.50442860678255,0.0
ACOTA_reverse,0.0,BSU11220,,52.05305446445065,0.0
PNP_reverse_num1,0.0,BSU23490,,327539.2228476859,0.0
NP1_reverse_num1,0.0,BSU23490,,327539.2228476859,0.0
PYNP1_reverse,0.0,BSU39400,,2853.437014963805,0.0
PUNP7_reverse_num1,0.0,BSU23490,,327539.2228476859,0.0
G1PTT_reverse,0.0,BSU37840,,822.6436700328984,0.0
TRPS3_reverse,0.0,BSU22630 and BSU22640,,506.7299032387935,0.0
RAFH_reverse,0.0,BSU38040,,21152665.711651467,0.0
SHK3Dr_reverse,0.023818164828,BSU25660,,5587.470089405225,4.26278162511567e-06
R02425_reverse,0.0,BSU32410,,13106.249376297546,0.0
RMI_reverse,0.0,BSU31180,,3093.8741292241334,0.0
MANAO_reverse,0.0,BSU12350,,,
DPR_reverse_num1,2.4043620000024912e-05,BSU15110,,1821.5808265778849,1.3199315478739689e-08
DURIPP_reverse_num1,0.0,BSU23490,,327539.2228476859,0.0
TMPHi_reverse,0.0,,,,
LGTHL_reverse_num1,0.0,BSU07160,,38285.3056074755,0.0
AMID2_reverse,0.0,BSU13570,,32004.76425620895,0.0
TARTRDH2_reverse,0.0,BSU04000,,9665.78023382614,0.0
ABUTD_reverse_num1,0.0,BSU07350,,92.7674482729905,0.0
