gene_id	abundance
O31611	65.3
O31612	61.1
O31613	5.05
O31614	2.63
O31615	15.5
O31616	50.2
O31617	258
O31618	1181
O31619	87.8
O31620	566
O31622	11.5
O31625	11.7
O31626	7.04
O31628	78.5
O31629	1542
O31630	115
O31631	326
O31632	240
O31633	46.4
O31634	16
O31635	71.2
O31636	390
O31637	3.46
O31638	67
O31639	133
O31640	21
O31641	41.2
O31642	34.4
O31643	47.3
O31644	5.45
O31645	37.1
O31646	27.8
O31647	10.9
O31648	13.8
O31649	4.41
O31650	127
O31651	3.41
O31652	8.99
O31653	6.96
O31654	6.25
O31656	79.8
O31657	293
O31658	0.77
O31659	2.26
O31660	0.74
O31661	12.7
O31662	634
O31663	758
O31664	180
O31665	167
O31666	139
O31667	101
O31668	339
O31669	2358
O31670	7.62
O31671	22.6
O31672	84.7
O31673	80.3
O31674	5.27
O31675	55.1
O31676	26.7
O31677	30.4
O31678	189
O31679	13.7
O31680	1.53
O31681	4.86
O31682	4.06
O31683	3.15
O31684	295
O31685	8.63
O31686	4.47
O31687	15.3
O31688	50
O31689	148
O31690	5.39
O31691	16.4
O31695	5.43
O31696	7.93
O31697	224
O31698	18.3
O31699	19.5
O31700	14.7
O31701	14.3
O31702	6.56
O31703	25.1
O31704	5.36
O31705	140
O31706	9.07
O31707	4.54
O31708	2.19
O31709	1040
O31710	412
O31711	26.3
O31712	79.9
O31713	5.22
O31714	78.2
O31716	208
O31717	29.8
O31718	1204
O31719	8.69
O31720	7.23
O31723	153
O31724	110
O31725	16.5
O31726	56.4
O31727	206
O31728	205
O31729	57.6
O31737	4133
O31738	218
O31739	4.14
O31740	169
O31741	23.8
O31742	5875
O31743	144
O31744	14.8
O31745	5.35
O31749	551
O31751	35.9
O31752	6.75
O31753	53.5
O31754	160
O31755	368
O31760	275
O31761	32.6
O31764	219
O31766	112
O31767	5.17
O31768	6.75
O31773	25.7
O31774	354
O31775	107
O31776	141
O31777	110
O31778	113
O31779	217
O31780	1.74
O31782	7.11
O31784	8.58
O31785	39.7
O31786	5.27
O31787	22.5
O31788	9.36
O31789	3.81
O31790	103
O31793	10.9
O31794	10.7
O31795	23.3
O31796	277
O31797	7.62
O31798	32.4
O31799	13.9
O31800	0.576
O31801	81.6
O31802	13.8
O31803	1427
O31804	94.4
O31805	3.83
O31806	376
O31807	5.1
O31808	8.56
O31809	3.76
O31810	5
O31811	2.02
O31812	9.11
O31813	4.2
O31814	13.5
O31815	5.97
O31816	0.69
O31817	0.929
O31818	168
O31819	0.348
O31820	56.6
O31821	5.86
O31822	4.95
O31823	20.9
O31824	1.91
O31825	8.83
O31826	12
O31827	9.95
O31829	111
O31831	19.9
O31832	7.31
O31833	7.64
O31834	6.99
O31835	3.54
O31836	0.404
O31837	4.95
O31838	120
O31839	1.06
O31842	7.89
O31843	8.13
O31844	22.1
O31845	15.2
O31846	2.55
O31847	337
O31848	390
O31849	15.2
O31850	38.3
O31851	13.9
O31852	32.7
O31853	12.6
O31854	7.4
O31855	4.07
O31856	57.4
O31858	129
O31859	10.8
O31862	0.539
O31863	2.01
O31864	66.8
O31865	3.98
O31866	3.86
O31868	14.5
O31870	4.42
O31872	2.22
O31875	9.57
O31877	2.7
O31878	5.54
O31879	4.3
O31881	1.21
O31882	3.44
O31883	8.83
O31884	10.4
O31885	8.14
O31886	5.03
O31887	1.3
O31890	19.7
O31891	5.87
O31892	3.21
O31893	5.8
O31894	7.52
O31896	8.4
O31897	1.4
O31898	11.4
O31899	1.83
O31901	7.85
O31902	5.41
O31903	4.54
O31904	4.76
O31905	7.88
O31906	31.6
O31907	3.73
O31908	5.01
O31909	15.5
O31910	0.269
O31911	18.7
O31912	4.41
O31913	1.16
O31914	1.94
O31915	3.87
O31916	15.1
O31917	4.45
O31918	20.4
O31919	17.4
O31920	5.87
O31921	3.58
O31922	14.9
O31923	2.87
O31924	1.8
O31925	5.64
O31927	17.6
O31928	35.9
O31929	21.4
O31930	53.8
O31931	1.99
O31932	9.78
O31933	0.759
O31934	1.47
O31935	8.59
O31936	3.19
O31937	7.74
O31938	5.13
O31939	9.31
