id,fluxes,equ,ec-code,kcat_MW,E
rxn05251_num3,0,atp_c + coa_c + fa12_c + h_c --> amp_c + fa12coa_c + ppi_c,6.2.1.16,400.078477,0
rxn05251_num4,0,atp_c + coa_c + fa12_c + h_c --> amp_c + fa12coa_c + ppi_c,6.2.1.16,43.66681781,0
rxn05252_num2,0,atp_c + coa_c + fa11_c + h_c --> amp_c + fa11coa_c + ppi_c,6.2.1.16,392.0196276,0
rxn05252_num3,0,atp_c + coa_c + fa11_c + h_c --> amp_c + fa11coa_c + ppi_c,6.2.1.16,400.078477,0
rxn05252_num4,0,atp_c + coa_c + fa11_c + h_c --> amp_c + fa11coa_c + ppi_c,6.2.1.16,43.66681781,0
rxn05294_num2,0,0.884 datp_c + 0.6684 dctp_c + 0.6692 dgtp_c + 0.8807 dttp_c --> dna_c + 3.1023 ppi_c,3.6.1.-,,
GLUt2r_num2,0,glu__L_e + h_e --> glu__L_c + h_c,,446001.9754,0
GLUt4_num2,0,glu__L_e + na1_e <-- glu__L_c + na1_c,,433327.8723,0
ARGt2r_num2,0,arg__L_e + h_e --> arg__L_c + h_c,,384653.0021,0
ARGt2r_num3,0,arg__L_e + h_e --> arg__L_c + h_c,,385369.6416,0
INSt2_num2,0,h_e + ins_e --> h_c + ins_c,,368607.5839,0
DADNt2_num2,0,dad_2_e + h_e --> dad_2_c + h_c,,368607.5839,0
ADNt2_num2,0,adn_e + h_e --> adn_c + h_c,,368607.5839,0
rxn05359_num2,0,2mbutACP_c + h_c + malACP_c --> 4m3ohexACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05360_num2,0.042969592,4m3ohexACP_c + h_c + nadph_c --> 4m3hhexACP_c + nadp_c,1.1.1.100,16528.20458,2.60E-06
rxn05360_num3,0,4m3ohexACP_c + h_c + nadph_c --> 4m3hhexACP_c + nadp_c,1.1.1.100,15090.67523,0
rxn05363_num2,0,4methexACP_c + h_c + malACP_c --> 6m3oACP_c + ACP_c + co2_c,2.3.1.41,7.74392208,0
rxn05364_num2,0.042969592,6m3oACP_c + h_c + nadph_c --> 6m3hoACP_c + nadp_c,1.1.1.100,16528.20458,2.60E-06
rxn05364_num3,0,6m3oACP_c + h_c + nadph_c --> 6m3hoACP_c + nadp_c,1.1.1.100,15090.67523,0
